month,strategy,type,variant,params,total_trades,total_return_pct,profit_factor,sharpe_ratio,max_drawdown_pct,win_rate_pct,avg_trade_pct,avg_win_pct,avg_loss_pct,max_consecutive_losses,long_trades,short_trades,long_return_pct,short_return_pct,score,return_1w,return_1m,return_3m,return_6m,return_1y
2025-10,Ensemble Vote,Ensemble,v4,"{""ema_fast"": 9, ""ema_slow"": 21, ""rsi_len"": 7, ""macd_fast"": 12, ""macd_slow"": 26, ""stoch_len"": 14, ""bb_len"": 20, ""min_votes"": 2, ""atr_mult"": 1.0}",142,-57.47,0.679,-0.41,64.25,19.0,-0.4186,4.6652,-1.6122,16,82,60,-44.71,-14.74,-0.0043,-22.17,-57.47,-57.47,-57.47,-57.47
2025-10,RSI Momentum,Momentum,v4,"{""rsi_len"": 10, ""rsi_long_entry"": 60, ""rsi_short_entry"": 40, ""rsi_long_exit"": 80, ""rsi_short_exit"": 20, ""atr_mult"": 1.5}",125,-64.55,0.43,-0.884,67.98,26.4,-0.7305,2.0869,-1.7411,16,78,47,-72.54,-18.77,-0.0056,-16.01,-64.55,-64.55,-64.55,-64.55
2025-10,Confluence,Multi-Indicator,v3,"{""ema_fast"": 10, ""ema_slow"": 30, ""rsi_len"": 14, ""stoch_len"": 21, ""atr_mult"": 2.0}",67,-64.91,0.562,-0.491,66.58,14.9,-1.0502,9.031,-2.8188,17,43,24,-91.18,20.81,-0.0041,-17.33,-64.91,-64.91,-64.91,-64.91
2025-10,Scalp EMA,Trend-Scalp,v3,"{""fast"": 5, ""mid"": 10, ""slow"": 25, ""atr_mult"": 0.8}",100,-101.45,0.073,-0.901,102.58,15.0,-2.8999,1.5321,-3.682,23,53,47,-95.54,-194.44,-0.0006,-14.04,-101.45,-101.45,-101.45,-101.45
2025-10,Scalp EMA,Trend-Scalp,v1,"{""fast"": 3, ""mid"": 8, ""slow"": 21, ""atr_mult"": 1.0}",97,-109.33,0.033,-0.793,118.67,16.5,-2.9916,0.6107,-3.7031,14,58,39,-64.61,-225.57,-0.0002,-15.07,-109.33,-109.33,-109.33,-109.33
2025-10,Ensemble Vote,Ensemble,default,"{""ema_fast"": 9, ""ema_slow"": 21, ""rsi_len"": 7, ""macd_fast"": 12, ""macd_slow"": 26, ""stoch_len"": 14, ""bb_len"": 20, ""min_votes"": 3, ""atr_mult"": 1.3}",128,-127.89,0.388,-0.849,153.56,21.9,-1.6612,4.8164,-3.475,15,75,53,-44.97,-167.67,-0.0021,-13.97,-127.89,-127.89,-127.89,-127.89
2025-10,Ensemble Vote,Ensemble,v2,"{""ema_fast"": 9, ""ema_slow"": 21, ""rsi_len"": 7, ""macd_fast"": 12, ""macd_slow"": 26, ""stoch_len"": 14, ""bb_len"": 20, ""min_votes"": 3, ""atr_mult"": 1.3}",128,-127.89,0.388,-0.849,153.56,21.9,-1.6612,4.8164,-3.475,15,75,53,-44.97,-167.67,-0.0021,-13.97,-127.89,-127.89,-127.89,-127.89
2025-10,Adaptive Regime,Adaptive,default,"{""adx_len"": 14, ""adx_trend_thresh"": 25, ""adx_range_thresh"": 18, ""ema_fast"": 9, ""ema_slow"": 21, ""bb_len"": 20, ""rsi_len"": 7, ""atr_mult"": 1.5}",68,-244.09,0.01,-0.72,498.87,16.2,-30.0633,1.9244,-36.2364,17,32,36,-115.58,-1928.72,-0.0,-18.16,-244.09,-244.09,-244.09,-244.09
2025-10,Adaptive Regime,Adaptive,v2,"{""adx_len"": 14, ""adx_trend_thresh"": 25, ""adx_range_thresh"": 18, ""ema_fast"": 9, ""ema_slow"": 21, ""bb_len"": 20, ""rsi_len"": 7, ""atr_mult"": 1.5}",68,-244.09,0.01,-0.72,498.87,16.2,-30.0633,1.9244,-36.2364,17,32,36,-115.58,-1928.72,-0.0,-18.16,-244.09,-244.09,-244.09,-244.09
2025-10,Scalp EMA,Trend-Scalp,default,"{""fast"": 5, ""mid"": 13, ""slow"": 34, ""atr_mult"": 1.2}",80,-269.8,0.012,-0.721,408.85,15.0,-20.7824,1.7351,-24.756,13,41,39,-114.71,-1547.88,-0.0,-15.89,-269.8,-269.8,-269.8,-269.8
2025-10,Scalp EMA,Trend-Scalp,v2,"{""fast"": 5, ""mid"": 13, ""slow"": 34, ""atr_mult"": 1.2}",80,-269.8,0.012,-0.721,408.85,15.0,-20.7824,1.7351,-24.756,13,41,39,-114.71,-1547.88,-0.0,-15.89,-269.8,-269.8,-269.8,-269.8
2025-10,Adaptive Regime,Adaptive,v1,"{""adx_len"": 10, ""adx_trend_thresh"": 22, ""adx_range_thresh"": 15, ""ema_fast"": 5, ""ema_slow"": 15, ""bb_len"": 15, ""rsi_len"": 5, ""atr_mult"": 1.2}",97,-298.36,0.016,-0.72,534.5,17.5,-16.9628,1.6158,-20.9108,14,56,41,-89.49,-1555.9,-0.0,-17.1,-298.36,-298.36,-298.36,-298.36
2025-10,Adaptive Regime,Adaptive,v3,"{""adx_len"": 10, ""adx_trend_thresh"": 20, ""adx_range_thresh"": 15, ""ema_fast"": 8, ""ema_slow"": 21, ""bb_len"": 15, ""rsi_len"": 7, ""atr_mult"": 1.0}",102,-327.13,0.019,-0.721,553.11,18.6,-13.4755,1.4278,-16.8871,13,61,41,-81.23,-1293.28,-0.0,-15.16,-327.13,-327.13,-327.13,-327.13
