timeframe,strategy,type,variant,params,total_trades,total_return_pct,profit_factor,sharpe_ratio,max_drawdown_pct,win_rate_pct,avg_trade_pct,avg_win_pct,avg_loss_pct,max_consecutive_losses,long_trades,short_trades,long_return_pct,short_return_pct,score,return_1w,return_1m,return_3m,return_6m,return_1y
1D,Donchian+MACD,Hybrid,v3,"{""entry_period"": 30, ""exit_period"": 15, ""atr_stop"": 3.0}",64,77.51,3.543,2.625,7.46,56.2,0.9877,2.4463,-0.8876,5,35,29,45.47,17.74,1.2472,0.0,-0.01,-1.55,-2.9,23.73
4H,MACD+RSI Momentum,Momentum,v4,"{""rsi_period"": 7, ""rsi_ob"": 70, ""rsi_os"": 30, ""atr_stop"": 2.0}",229,34.29,1.559,0.175,29.05,31.9,0.3872,3.3867,-1.0164,13,111,118,-60.69,149.35,0.0094,-5.86,-5.45,-2.92,-13.5,-19.22
4H,MACD+RSI Momentum,Momentum,v1,"{""rsi_period"": 10, ""rsi_ob"": 65, ""rsi_os"": 35, ""atr_stop"": 2.0}",235,29.0,1.587,0.162,32.37,28.5,0.3441,3.2622,-0.8197,15,121,114,-36.74,117.6,0.008,-4.58,-3.56,-10.93,-22.5,-21.27
1D,MACD+RSI Momentum,Momentum,v4,"{""rsi_period"": 7, ""rsi_ob"": 70, ""rsi_os"": 30, ""atr_stop"": 2.0}",16,8.09,3.567,1.175,1.45,62.5,0.5192,1.1543,-0.5394,2,7,9,5.83,2.48,2.8957,0.0,0.0,0.0,-1.01,2.03
1D,MACD+RSI Momentum,Momentum,v3,"{""rsi_period"": 14, ""rsi_ob"": 75, ""rsi_os"": 25, ""atr_stop"": 3.0}",22,6.92,2.118,0.918,2.37,68.2,0.3268,0.9083,-0.9191,2,11,11,2.0,5.19,0.8197,0.0,0.0,0.33,-0.79,-1.33
1D,MACD+RSI Momentum,Momentum,default,"{""rsi_period"": 14, ""rsi_ob"": 70, ""rsi_os"": 30, ""atr_stop"": 2.5}",21,6.72,2.086,0.892,2.37,66.7,0.3327,0.9587,-0.9191,2,10,11,1.8,5.19,0.7852,0.0,0.0,0.33,-0.79,-1.33
1D,MACD+RSI Momentum,Momentum,v2,"{""rsi_period"": 14, ""rsi_ob"": 70, ""rsi_os"": 30, ""atr_stop"": 2.5}",21,6.72,2.086,0.892,2.37,66.7,0.3327,0.9587,-0.9191,2,10,11,1.8,5.19,0.7852,0.0,0.0,0.33,-0.79,-1.33
4H,MACD+RSI Momentum,Momentum,default,"{""rsi_period"": 14, ""rsi_ob"": 70, ""rsi_os"": 30, ""atr_stop"": 2.5}",285,5.77,1.428,0.138,46.17,30.5,0.3046,3.3278,-1.0237,10,142,143,-76.91,163.73,0.0043,-5.56,-4.75,-6.45,-19.67,-28.16
4H,MACD+RSI Momentum,Momentum,v2,"{""rsi_period"": 14, ""rsi_ob"": 70, ""rsi_os"": 30, ""atr_stop"": 2.5}",285,5.77,1.428,0.138,46.17,30.5,0.3046,3.3278,-1.0237,10,142,143,-76.91,163.73,0.0043,-5.56,-4.75,-6.45,-19.67,-28.16
1D,MACD+RSI Momentum,Momentum,v1,"{""rsi_period"": 10, ""rsi_ob"": 65, ""rsi_os"": 35, ""atr_stop"": 2.0}",17,5.28,2.147,0.778,2.29,52.9,0.3252,1.1499,-0.6025,3,8,9,5.07,0.46,0.7288,0.0,0.0,-0.22,-1.6,1.3
1D,Supertrend,Trend-Following,v3,"{""period"": 10, ""multiplier"": 2.0, ""atr_stop"": 2.0}",20,4.9,1.319,0.243,61.3,25.0,1.2045,19.9066,-5.0296,5,11,9,55.78,-31.69,0.0052,-0.53,-9.88,-16.56,-24.67,3.75
4H,EMA+ADX Trend,Trend-Following,v3,"{""fast_period"": 12, ""slow_period"": 26, ""adx_threshold"": 22, ""atr_stop"": 2.0}",310,-7.33,1.337,0.332,162.95,28.4,0.553,7.7328,-2.2931,21,162,148,-54.22,225.64,0.0027,-8.52,-12.31,-33.53,32.89,2.18
4H,MACD+RSI Momentum,Momentum,v3,"{""rsi_period"": 14, ""rsi_ob"": 75, ""rsi_os"": 25, ""atr_stop"": 3.0}",310,-13.47,1.365,0.127,56.96,30.0,0.3126,3.9004,-1.225,11,153,157,-111.77,208.68,0.003,-5.56,-4.66,-19.13,-31.35,-34.32
1D,BB+Stoch Reversion,Mean-Reversion,v3,"{""bb_period"": 20, ""bb_mult"": 2.5, ""stoch_k"": 14, ""atr_stop"": 2.0}",12,-14.53,0.188,-1.675,16.6,25.0,-1.3478,1.2478,-2.2129,7,7,5,-10.58,-5.6,-0.019,0.0,-1.63,-1.63,-1.63,-6.51
2H,MACD+RSI Momentum,Momentum,v4,"{""rsi_period"": 7, ""rsi_ob"": 70, ""rsi_os"": 30, ""atr_stop"": 2.0}",501,-20.5,1.064,0.044,60.09,30.3,0.0471,2.5862,-1.0588,24,231,270,-62.4,85.99,0.0008,0.0,-6.87,-13.83,-11.35,-3.86
4H,EMA+ADX Trend,Trend-Following,v5,"{""fast_period"": 5, ""slow_period"": 15, ""adx_threshold"": 15, ""atr_stop"": 1.5}",437,-25.04,1.248,0.341,163.49,24.7,0.349,7.0976,-1.8663,16,217,220,-126.64,279.17,0.0026,-10.61,-14.78,-28.89,18.33,8.18
2H,MACD+RSI Momentum,Momentum,default,"{""rsi_period"": 14, ""rsi_ob"": 70, ""rsi_os"": 30, ""atr_stop"": 2.5}",595,-28.19,1.05,0.04,67.06,30.4,0.0392,2.7003,-1.1242,21,298,297,-54.94,78.28,0.0006,0.34,-8.87,-17.4,-25.51,11.32
2H,MACD+RSI Momentum,Momentum,v2,"{""rsi_period"": 14, ""rsi_ob"": 70, ""rsi_os"": 30, ""atr_stop"": 2.5}",595,-28.19,1.05,0.04,67.06,30.4,0.0392,2.7003,-1.1242,21,298,297,-54.94,78.28,0.0006,0.34,-8.87,-17.4,-25.51,11.32
4H,BB+Stoch Reversion,Mean-Reversion,default,"{""bb_period"": 20, ""bb_mult"": 2.0, ""stoch_k"": 14, ""atr_stop"": 1.5}",298,-32.22,0.573,0.205,351.46,52.0,-4.8836,12.5866,-23.8198,11,147,151,-2664.92,1209.6,0.0003,9.75,16.4,46.71,157.5,-5503.58
4H,BB+Stoch Reversion,Mean-Reversion,v2,"{""bb_period"": 20, ""bb_mult"": 2.0, ""stoch_k"": 14, ""atr_stop"": 1.5}",298,-32.22,0.573,0.205,351.46,52.0,-4.8836,12.5866,-23.8198,11,147,151,-2664.92,1209.6,0.0003,9.75,16.4,46.71,157.5,-5503.58
1D,Supertrend,Trend-Following,v1,"{""period"": 7, ""multiplier"": 2.0, ""atr_stop"": 1.5}",24,-32.92,0.576,-0.362,61.3,16.7,-1.4126,11.4978,-3.9947,10,9,15,21.54,-55.45,-0.0034,-0.53,-10.76,-17.47,0.96,-3.89
1D,BB+Stoch Reversion,Mean-Reversion,v4,"{""bb_period"": 30, ""bb_mult"": 2.0, ""stoch_k"": 21, ""atr_stop"": 2.0}",37,-34.63,0.264,-2.221,37.46,27.0,-1.1771,1.5619,-2.1915,9,17,20,-13.87,-29.68,-0.0157,0.0,-4.22,-4.69,-7.39,-19.42
1D,BB+Stoch Reversion,Mean-Reversion,default,"{""bb_period"": 20, ""bb_mult"": 2.0, ""stoch_k"": 14, ""atr_stop"": 1.5}",35,-35.37,0.179,-2.797,35.37,25.7,-1.2881,1.0904,-2.1115,8,17,18,-24.83,-20.26,-0.0141,0.0,-3.0,-4.8,-6.79,-14.09
1D,BB+Stoch Reversion,Mean-Reversion,v2,"{""bb_period"": 20, ""bb_mult"": 2.0, ""stoch_k"": 14, ""atr_stop"": 1.5}",35,-35.37,0.179,-2.797,35.37,25.7,-1.2881,1.0904,-2.1115,8,17,18,-24.83,-20.26,-0.0141,0.0,-3.0,-4.8,-6.79,-14.09
4H,Supertrend,Trend-Following,v4,"{""period"": 14, ""multiplier"": 3.0, ""atr_stop"": 2.5}",213,-40.25,1.378,0.376,147.07,24.9,1.2392,18.1551,-4.3642,12,100,113,-88.16,352.1,0.0035,-5.04,-20.25,-46.14,10.05,47.79
2H,MACD+RSI Momentum,Momentum,v3,"{""rsi_period"": 14, ""rsi_ob"": 75, ""rsi_os"": 25, ""atr_stop"": 3.0}",633,-40.45,1.03,0.024,76.92,29.9,0.0248,2.8323,-1.1703,23,321,312,-59.74,75.43,0.0003,0.34,-11.2,-16.2,-25.44,7.39
4H,Supertrend,Trend-Following,v3,"{""period"": 10, ""multiplier"": 2.0, ""atr_stop"": 2.0}",321,-44.14,1.266,0.34,145.92,24.3,0.6428,12.5864,-3.191,12,158,163,-111.38,317.71,0.0029,-6.9,-11.58,-36.73,25.54,43.7
4H,BB+Stoch Reversion,Mean-Reversion,v3,"{""bb_period"": 20, ""bb_mult"": 2.5, ""stoch_k"": 14, ""atr_stop"": 2.0}",174,-49.03,0.556,0.187,326.98,55.7,-8.4974,19.1015,-43.2648,6,93,81,-2618.11,1139.56,0.0003,2.63,9.09,32.96,263.25,-6110.03
4H,Supertrend,Trend-Following,v5,"{""period"": 7, ""multiplier"": 3.0, ""atr_stop"": 2.0}",242,-53.97,1.134,0.235,84.56,23.1,0.3349,12.2079,-3.2398,17,117,125,-114.06,195.1,0.0032,-3.36,-12.1,-28.72,-50.77,-15.69
1D,BB+Stoch Reversion,Mean-Reversion,v1,"{""bb_period"": 15, ""bb_mult"": 1.5, ""stoch_k"": 10, ""atr_stop"": 1.5}",99,-55.29,0.359,-3.09,55.88,28.3,-0.8331,1.6504,-1.8125,12,41,58,-18.7,-63.77,-0.0199,1.33,-4.41,-7.19,-4.22,-24.17
2H,MACD+RSI Momentum,Momentum,v1,"{""rsi_period"": 10, ""rsi_ob"": 65, ""rsi_os"": 35, ""atr_stop"": 2.0}",516,-58.18,0.85,-0.142,64.54,31.2,-0.1156,2.0967,-1.119,19,251,265,-29.52,-30.15,-0.0019,0.29,-6.29,-14.03,-21.73,-49.3
1D,Supertrend,Trend-Following,v4,"{""period"": 14, ""multiplier"": 3.0, ""atr_stop"": 2.5}",12,-77.09,0.151,-1.539,80.7,8.3,-8.5562,18.3165,-10.9992,11,1,11,-5.06,-97.61,-0.0029,0.37,9.04,15.66,-2.67,-40.43
1D,Supertrend,Trend-Following,default,"{""period"": 10, ""multiplier"": 3.0, ""atr_stop"": 2.0}",16,-84.28,0.012,-1.917,84.28,6.2,-8.2115,1.5577,-8.8627,11,5,11,-19.27,-112.12,-0.0003,-0.53,-9.88,-16.56,-24.17,-50.32
